stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00064,0,0,584,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.00064,0,0,583,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.00064,0,0,583,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.00066,0,0,580,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.00067,0,0,584,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.00068,0,0,587,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.00071,0,0,585,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.00072,0,0,587,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.00072,0,0,585,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0007,0,0,583,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0007,0,0,582,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.0007,0,0,588,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0007,0,0,579,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0008,0,0,583,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.0008,0,0,586,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0008,0,0,582,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.0008,0,0,588,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.0008,0,0,586,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0008,0,0,586,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0008,0,0,586,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.0008,0,0,589,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0008,0,0,584,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.0008,0,0,581,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.0008,0,0,584,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.0008,0,0,581,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.0008,0,0,584,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0008,0,0,584,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.0009,0,0,584,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.0009,0,0,583,0,0,213,0,22,0,0,0
