stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00036,0,0,1907,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.00041,0,0,1910,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.00057,0,0,1911,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.00065,0,0,1915,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.00069,0,0,1912,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.00081,0,0,1913,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.00092,0,0,1915,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.00098,0,0,1917,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.00105,0,0,1920,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0011,0,0,1911,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0012,0,0,1915,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.0013,0,0,1914,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0013,0,0,1913,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0014,0,0,1915,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.0015,0,0,1914,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0016,0,0,1914,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.0018,0,0,1914,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.002,0,0,1910,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0021,0,0,1916,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0022,0,0,1919,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.0024,0,0,1914,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0024,0,0,1911,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.0024,0,0,1913,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.0024,0,0,1911,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.0024,0,0,1915,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.0026,0,0,1911,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0027,0,0,1913,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.0028,0,0,1913,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.0029,0,0,1915,0,0,213,0,22,0,0,0
