stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00065,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00066,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.0007,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00071,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00071,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00073,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00074,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00075,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00078,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0008,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0008,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0008,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0008,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0009,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.001,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.001,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.001,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0011,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0011,0,0,248,0,0,0,0,0,0,0,0
