stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,100,0,0,1.00064,349,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,2.00064,350,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,3.00064,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,4.00065,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,5.00066,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,6.00067,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,7.00067,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,8.00067,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,9.00069,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,10.0007,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,11.0007,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,12.0007,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,13.0007,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,14.0007,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,15.0007,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,16.0007,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,17.0009,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,18.0009,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,19.0009,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,20.0009,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,21.0009,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,22.0009,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,23.0009,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,24.0009,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,25.0009,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,26.0009,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,27.0009,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,28.0009,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,29.0009,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,30.0009,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,31.0009,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,32.0009,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,33.0009,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,34.001,348,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,35.001,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,36.001,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,37.001,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,38.001,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,39.001,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,40.001,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,41.001,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,42.001,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,43.0011,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,44.0011,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,45.0011,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,46.0011,350,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,47.0011,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,48.0011,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,49.0011,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,50.0011,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,51.0011,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,52.0011,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,53.0011,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,54.0011,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,55.0011,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,56.0012,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,57.0012,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,58.0012,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,59.0012,343,0,0,0,0,213,0,22,0,0,0
