stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00499,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.005,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00501,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00504,0,0,123,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00506,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00509,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.0051,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00511,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00513,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0052,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0052,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0052,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0052,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0052,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0053,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0053,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0053,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0053,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0053,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0053,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0054,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0054,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0054,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0054,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0055,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0055,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0055,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0056,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0056,0,0,124,0,0,0,0,0,0,0,0
