stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00539,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00542,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00554,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00555,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00556,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00556,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00558,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00558,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00564,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0057,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0057,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0057,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0058,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0058,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0058,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0059,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0059,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0059,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0059,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0059,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0059,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.006,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.006,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.006,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.006,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0061,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0062,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0063,0,0,124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0063,0,0,124,0,0,0,0,0,0,0,0
