stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.002,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00202,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00203,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00203,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00206,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00207,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00208,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.0021,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00211,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0022,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0022,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0022,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0022,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0022,6,0,110,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0022,6,0,129,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0022,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0022,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0022,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0023,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0023,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0023,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0023,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0023,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0023,9,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0024,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0024,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0024,9,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0024,10,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0024,9,0,183,0,0,0,0,0,0,0,0
