stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00191,0,0,1948,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.00208,0,0,1955,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.00219,0,0,1953,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.00226,0,0,1957,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.00246,0,0,1957,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.00256,0,0,1959,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.00277,0,0,1960,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.00281,0,0,1957,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.00286,0,0,1956,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.003,0,0,1959,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0032,0,0,1957,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.0034,0,0,1958,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0036,0,0,1954,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0038,0,0,1953,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.0039,0,0,1954,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0041,0,0,1954,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.0042,0,0,1955,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.0043,0,0,1952,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0044,0,0,1956,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0044,0,0,1956,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.0044,0,0,1955,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0044,0,0,1953,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.0044,0,0,1955,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.0045,0,0,1955,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.0046,0,0,1956,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.0048,0,0,1955,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0048,0,0,1957,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.0049,0,0,1956,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.0051,0,0,1956,0,0,213,0,22,0,0,0
