stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00109,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.0011,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00111,0,0,247,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00111,0,0,247,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00135,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00137,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00139,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00144,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00145,0,0,250,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0018,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0018,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0018,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0019,0,0,247,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.002,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.002,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.002,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0021,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0021,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0022,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0022,0,0,247,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0022,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0023,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0023,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0023,0,0,247,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0023,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0024,0,0,247,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0024,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0025,0,0,243,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0026,0,0,240,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,30.0026,0,0,244,0,0,0,0,0,0,0,0
