stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00116,137,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00118,139,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.0012,142,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00122,189,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00123,172,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00126,162,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00126,163,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00126,165,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00129,161,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0013,159,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0013,174,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0013,169,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0013,164,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0013,172,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0013,166,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0014,168,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0014,169,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0014,170,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0014,164,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0014,163,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0014,164,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0014,160,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0014,163,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0015,163,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0015,164,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0015,178,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0015,176,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0015,167,0,0,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0015,165,0,0,0,0,0,0,0,0,0,0
