stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00102,0,0,61,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00107,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00111,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00118,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00133,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00137,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00144,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00147,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00147,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0015,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0015,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0017,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0017,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0017,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0017,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0018,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0019,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.002,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.002,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.002,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0021,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0021,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0021,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0022,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0023,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0024,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0024,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0024,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0025,0,0,62,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,30.003,0,0,62,0,0,0,0,0,0,0,0
